#    x (m)        y (m)        T(x,y) (°C)
    0.941176    2.029412   36.650081
    1.176471    2.029412   41.388116
    1.411765    2.029412   45.757270
    1.647059    2.029412   49.743584
    1.882353    2.029412   53.347972
    2.117647    2.029412   56.581808
    2.352941    2.029412   59.463012
    2.588235    2.029412   62.012904
    2.823529    2.029412   64.253863
    3.058824    2.029412   66.207675
    3.294118    2.029412   67.894442
    3.529412    2.029412   69.331893
    3.764706    2.029412   70.534981
    4.000000    2.029412   71.515667
    4.235294    2.029412   72.282822
    4.470588    2.029412   72.842219
    4.705882    2.029412   73.196574
    4.941176    2.029412   73.345652
    5.176471    2.029412   73.286453
    5.411765    2.029412   73.013514
    5.647059    2.029412   72.519387
    5.882353    2.029412   71.795375
    6.117647    2.029412   70.832616
    6.352941    2.029412   69.623612
    6.588235    2.029412   68.164278
    6.823529    2.029412   66.456483
    7.058824    2.029412   64.510920
    7.294118    2.029412   62.349883
    7.529412    2.029412   60.009261
    7.764706    2.029412   57.538823
    8.000000    2.029412   55.000000

    0.000000    2.117647   15.000000
    0.235294    2.117647   21.358838
    0.470588    2.117647   27.575554
    0.705882    2.117647   33.525235
    0.941176    2.117647   39.112333
    1.176471    2.117647   44.274721
    1.411765    2.117647   48.981318
    1.647059    2.117647   53.226052
    1.882353    2.117647   57.020732
    2.117647    2.117647   60.388451
    2.352941    2.117647   63.358270
    2.588235    2.117647   65.961334
    2.823529    2.117647   68.228235
    3.058824    2.117647   70.187347
    3.294118    2.117647   71.863864
    3.529412    2.117647   73.279286
    3.764706    2.117647   74.451200
    4.000000    2.117647   75.393221
    4.235294    2.117647   76.115009
    4.470588    2.117647   76.622330
    4.705882    2.117647   76.917128
    4.941176    2.117647   76.997621
    5.176471    2.117647   76.858432
    5.411765    2.117647   76.490816
    5.647059    2.117647   75.883060
    5.882353    2.117647   75.021163
    6.117647    2.117647   73.889953
